NOME;PONTUACAO;LOCAL;BUSCA_ID;LAT;LON
Funerária Funepaz;5.0;Av. Genibaú, 601 - Genibaú, Fortaleza - CE, 60530-000;casa funerária;-3.7606624;-38.6006414
Funerária Poupa Urna;4.6;Rua Frei Serafim, 382 - Parangaba, Fortaleza - CE, 60720-605;casa funerária;-3.7787639;-38.5775531
Funerária SBC;3.6;Av. Oscar Araripe, 783 - Bom Jardim, Fortaleza - CE, 60543-452;casa funerária;-3.7916184;-38.5985531
Funerária Fênix;5.0;rua 1°de maio n°1809, granja portugal, fortaleza ce - Granja Portugal, Fortaleza - CE, 60541-310;casa funerária;40.16358;-8.63295
Fortaleza Assistência Familiar 24hs;5.0;Av. Bernardo Manuel, 10501 - Parque Dois Irmãos, Fortaleza - CE, 60761-281;casa funerária;-3.8109874;-38.554884
Funerária Mão Amiga;5.0;R. Cônego de Castro, 4591 - Vila Peri, Fortaleza - CE, 60764-205;casa funerária;-3.7880017;-38.5762068
Funerária TERTO SÃO RAIMUNDO FUNEPET;3.0;R. Sen. Pompeu, 453 - Centro, Fortaleza - CE, 60025-000;casa funerária;-3.71722;-38.54306
Pré-Vida;4.0;Av. C, 915 - Conj. Ceará II, Fortaleza - CE, 60533-610;casa funerária;-3.71722;-38.54306
FUNERARIA UNIAO;5.0;Av. Augusto dos Anjos, 1446 - Parangaba, Fortaleza - CE, 60720-600;casa funerária;-3.7791682;-38.5785247
Clinica de Tanatopraxia Osíris;5.0;Rua Dom José Lourenço, 1313 - Parquelândia, Fortaleza - CE, 60450-245;casa funerária;-3.737836;-38.5590945
Funerária Anjo da Guarda - Afagu Centro;4.8;R. São Paulo, 1750 - Carlito Pamplona, Fortaleza - CE, 60310-330;casa funerária;-3.71722;-38.54306
Funerária e Floricultura São Matheus;5.0;Av. da Saudade, 3790 B - Passaré, Fortaleza - CE, 60861-330;casa funerária;-3.814428;-38.534312
Plano Vida E Paz;5.0;R. Francisco Saraiva, 509 - Canindezinho, Fortaleza - CE, 60731-005;casa funerária;-3.8108746;-38.6077613
Assistência Integrada Florescer;4.6;R. Estevão de Campos, 676 - Barra do Ceará, Fortaleza - CE, 60332-320;casa funerária;-3.7042146;-38.5809885
VITAE;5.0;Av. Dom Luís, 609 - Sala 903 - Meireles, Fortaleza - CE, 60160-230;casa funerária;-3.7334846;-38.4958169
Plano de Assistência Familiar União;3.3;Rua Paurillo Barroso, 964 - Mondubim, Fortaleza - CE, 60712-110;casa funerária;-3.71722;-38.54306
Clinfor - Clinica De Tanatopraxia;4.6;Av. Presidente Costa e Silva, 4449 - Mondubim, Fortaleza - CE, 60862-515;casa funerária;-3.8177459;-38.5651725
Centro Logístico Grupo Nobre;5.0;Rua Conselheiro Tristão, 326 - Centro, Fortaleza - CE, 60050-100;casa funerária;-3.7370455;-38.5263332
Paz Eterna (Velório);3.0;R. Júlio Siqueira, 854 - Dionísio Torres, Fortaleza - CE, 60130-090;casa funerária;-3.7507157;-38.5059379
Funerária Paz Eterna - Parangaba;4.0;R. Júlio Gaspar, 599 - Parangaba, Fortaleza - CE, 60710-095;casa funerária;-3.781776;-38.5644125
Funerária Fênix;5.0;Rua 1º de Maio, 1809 - Granja Portugal, Fortaleza - CE, 60541-312;casa funerária;-3.7792716;-38.6015077
